기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
CS,2019,21834552039.0,5354381386.0,27188933425.0,4737880007.0,691173875.0,5429053882.0,9417575000.0,-15764679432.0,21759879543.0,32157823692.0,-917978018.0,-538357258.0,80.03211896128286,3.48843380909803,-0.8268124938944329,8.61156452728645,-0.019800602310680745,-0.024297956526826533
CS,2020,22170538890.0,6171373443.0,28341912333.0,5598324161.0,698302093.0,6296626254.0,9417575000.0,-15568746162.0,22045286079.0,42958085137.0,364597144.0,178546528.0,77.78334016414092,3.517787188151973,0.2514139401362116,4.015221096878456,0.006299734679233651,0.008151848096669662
CS,2020,,,,,,,,,,,,,,,,,,
CS,2021,29574491886.0,4873912064.0,34448403950.0,12591616149.0,523323819.0,13114939968.0,9705565000.0,-18692427945.0,21333463982.0,41091897059.0,228076588.0,-2383876876.0,61.92874425463767,,,,-0.06920137372576299,
CSA 코스믹,2018,27238636420.0,10228426913.0,37467063333.0,11174970879.0,2668487228.0,13843458107.0,9873820500.0,-27215516681.0,23623605226.0,63526514658.0,20216304.0,-464796447.0,63.05165957640708,-10.281814321747436,0.3531536039680208,-4.128862088741397,-0.01240546778030024,-0.02067734641907176
CSA 코스믹,2019,23921453950.0,9296660728.0,33218114678.0,13738463461.0,2967932573.0,16706396034.0,9873820500.0,-34852081277.0,16511718644.0,64289801297.0,-5727834998.0,-7636564596.0,49.70697104292777,1.0035294843526497,0.011872592909003403,0.9391354003286427,-0.22989157181330386,-0.3805408233771903
CSA 코스믹,2020,26571068078.0,8315708415.0,34886776493.0,22155640797.0,1129733356.0,23285374153.0,18536022500.0,-49379280814.0,11601402340.0,58308778550.0,-787279044.0,-14527199537.0,33.25444052513081,-6.275482615284753,-0.10257499635104259,0.47432644698311754,-0.41640991221745205,-1.0334818069660678
CSA 코스믹,2020,,,,,,,,,,,,,,,,,,
CSA 코스믹,2021,36645352754.0,9532336905.0,46177689659.0,30025841139.0,1900516005.0,31926357144.0,19597971500.0,-49772351391.0,14251332515.0,60297016695.0,1999698281.0,-393070577.0,30.86194354944829,,,,-0.008512131722107297,
DMS,2018,159939971787.0,157374726270.0,317314698057.0,162426446113.0,3408825749.0,165835271862.0,11516243500.0,89209130608.0,151479426195.0,298717912214.0,30343576982.0,15184128518.0,47.737916687297414,0.9340981360837507,0.7981473014185921,1.0258869369113963,0.047851954576880136,0.18323850848434942
DMS,2019,134517297914.0,167997325922.0,302514623836.0,135345962490.0,1162986682.0,136508949172.0,11521243500.0,105892240955.0,166005674664.0,196206589070.0,22710231178.0,17236232679.0,54.87525613108721,-0.336119247055249,-0.5224662618615085,0.11905758057560972,0.0569765271524333,0.10857978930264747
DMS,2019,134517297914.0,167997325922.0,302514623836.0,135345962490.0,1162986682.0,136508949172.0,11521243500.0,105892240955.0,166005674664.0,196206589070.0,22710231179.0,17236232679.0,54.87525613108721,4.4033017194677143e-11,0.0,0.0,0.0569765271524333,0.10382917761026304
DMS,2020,225495272014.0,160989908763.0,386485180777.0,140816097933.0,2074342486.0,142890440419.0,12286530500.0,144481609206.0,243594740358.0,226902502451.0,33814617713.0,40504829420.0,63.02822267810391,0.32839012489355834,0.13528239243473675,0.5744647508504431,0.1048030595599242,0.19777728700701855
DMS,2020,,,,,,,,,,,,,,,,,,
DMS,2021,254321460179.0,166156658977.0,420478119156.0,134194460550.0,1494665079.0,135689125629.0,12286530500.0,175131004138.0,284788993527.0,225393632210.0,32010203266.0,35211009511.0,67.72980104140484,,,,0.08374040861312095,
DSC인베스트먼트,2018,,,,,,,,,,,,,,,,,,
DSC인베스트먼트,2019,,,,,,,,,,,,,,,,,,
DSC인베스트먼트,2020,,,,,,,,,,,,,,,,,,
EDGC,2018,41706536227.0,33395535388.0,75102071615.0,21682330294.0,1916295652.0,23598625946.0,3617294000.0,-20662964675.0,51503445669.0,21496787319.0,-6815179179.0,-7253213818.0,68.57792942520284,,,,-0.0965780791664784,
EDGC,2019,46020514677.0,50379570315.0,96400084992.0,43572186730.0,5016358944.0,48588545674.0,3617294000.0,-30457134719.0,47811539318.0,56721869566.0,-8553545648.0,-8605224718.0,49.596988759883104,0.20323343564624186,0.6210141258833697,0.15711511835035846,-0.08926573787475525,-0.17329156761442183
EDGC,2020,95408209874.0,64896719546.0,160304929420.0,83444864591.0,6847015669.0,90291880260.0,4291453100.0,-40865946005.0,70013049160.0,92541208930.0,-5108643510.0,-9433328400.0,43.674919675467585,-0.6743281521321107,0.38706366361708605,0.08778488852354595,-0.05884615297939227,-0.16012495391420567
EDGC,2020,,,,,,,,,,,,,,,,,,
EDGC,2021,59230000074.0,127708229428.0,186938229502.0,59905332197.0,68037485491.0,127942817688.0,8369492200.0,-61532694774.0,58995411814.0,89282114475.0,-15602204704.0,-20666748769.0,31.558773168635806,,,,-0.11055389164675325,
EG,2018,26918996005.0,46410319627.0,73329315632.0,23494051054.0,15621585091.0,39115636145.0,7500000000.0,-2561234246.0,34213679487.0,112563295918.0,-8973681274.0,-17149381853.0,46.65757370312832,-0.7386626767328175,0.2068274676317212,-0.2051016734101524,-0.2338680199753047,-0.36797659141680766
EG,2019,21783768287.0,55415252252.0,77199020539.0,21657148695.0,21974251161.0,43631399856.0,7500000000.0,-3305466277.0,33567620683.0,67218334679.0,1499350253.0,-649697322.0,43.48192561075571,6.985046693422608,-0.6745921548866701,-25.395955889441083,-0.008415875194579455,-0.01917040010653428
EG,2020,27729427426.0,105776975253.0,133506402679.0,39764630620.0,45889954005.0,85654584625.0,7500000000.0,-7448066884.0,47851818054.0,45057857733.0,-6513050601.0,-6763709561.0,35.8423394637139,1.2302070634565303,-0.4918226933316861,0.903943639782199,-0.050662061333961055,-0.16614483386081905
EG,2020,27729427426.0,93395302961.0,121124730387.0,39764630620.0,43597906357.0,83362536977.0,7500000000.0,-7056956734.0,37762193410.0,45057857733.0,-6513050601.0,-6763709561.0,31.176286865075177,-0.0,0.0,-0.0,-0.055840863706276875,-0.1580047341630309
EG,2020,,,,,,,,,,,,,,,,,,
EG,2021,36808706044.0,108798049630.0,145606755674.0,22303701121.0,64647940765.0,86951641886.0,8287477000.0,5292248775.0,58655113788.0,95693333644.0,7577496321.0,4245281212.0,40.28323652737882,,,,0.02915579838551441,
ES큐브,2018,45061626446.0,67369269901.0,112430896347.0,37613190109.0,4069098980.0,41682289089.0,41621527000.0,21719604679.0,70748607258.0,33763507893.0,-1211129371.0,-6121462048.0,62.92630367336548,7.256554008547779,-1.834223681593214,1.6935077239247143,-0.054446439963505094,-0.09461029402429569
ES큐브,2019,359030692794.0,104927987200.0,463958679994.0,230135453848.0,159784713928.0,389920167776.0,42815711000.0,6015932355.0,74038512218.0,43708238532.0,-2617071032.0,-13767748431.0,15.957996996404395,0.5372195266421794,0.22752531268719947,0.5553766776986804,-0.029674514185569385,-0.19017918832596362
ES큐브,2020,322209018268.0,392680726929.0,714889745197.0,523911458787.0,121480467329.0,645391926116.0,69092015500.0,-18561613380.0,69497819081.0,80672424996.0,10315988227.0,-25292139576.0,9.721473772413493,1.2536907734297669,0.4582010081614976,0.45565109706794543,-0.035379077327553944,-0.3524144632527083
ES큐브,2020,322209018268.0,392680726929.0,714889745197.0,640440308708.0,4951617408.0,645391926116.0,69092015500.0,-18561613380.0,69497819081.0,80672424996.0,10315988227.0,-25292139576.0,9.721473772413493,0.0,0.0,-0.0,-0.035379077327553944,-0.36392709743196267
ES큐브,2020,,,,,,,,,,,,,,,,,,
ES큐브,2021,556635090988.0,526096964587.0,1082732055575.0,957088370442.0,9788491533.0,966876861975.0,69092015500.0,-9499449385.0,115855193600.0,125787292841.0,283187246.0,5375801078.0,10.700264484039264,,,,0.004965033639042954,
EV수성,2018,27230299379.0,26785645418.0,54015944797.0,38641691183.0,481202361.0,39122893544.0,6097145000.0,-11821849423.0,14893051253.0,23744667834.0,-3186518247.0,,27.571583370373904,1.0888704297446317,-4.297496419844,,,
EV수성,2019,13819279007.0,33474482681.0,47293761688.0,21121337621.0,9903594930.0,31024932551.0,6585607000.0,-19187981857.0,16268829137.0,22705956421.0,-1086313491.0,,34.399524496119625,-1.9333321121388891,-0.04574620834026307,,,
EV수성,2020,16964120159.0,35414547890.0,52378668049.0,10657400915.0,22192443988.0,32849844903.0,8958357000.0,-22351174431.0,19528823146.0,20651323502.0,-737302916.0,,37.28392468424527,-0.4733611754764849,-0.09949158555387586,,,
EV수성,2020,,,,,,,,,,,,,,,,,,
EV수성,2021,38798740472.0,54475193118.0,93273933590.0,31176778533.0,24376255238.0,55553033771.0,28706319000.0,-31763781570.0,37720899819.0,35944237762.0,-479149911.0,,40.44098749475717,,,,,
FSN,2018,120332417647.0,69299205251.0,189631622898.0,133122795975.0,12915055566.0,146037851541.0,8784296900.0,-4662896655.0,43593771357.0,111455755491.0,9862709940.0,2962308223.0,22.988661221577182,1.0485819733029682,0.6775021836812861,,0.015621383067492814,0.07286036283878682
FSN,2019,98127493601.0,98862755754.0,196990249355.0,89222133550.0,40468118248.0,129690251798.0,9629766600.0,-1623727200.0,67299997557.0,145425213159.0,7736948508.0,8639898383.0,34.164126284097115,-0.27475450170076277,0.2335871265380897,0.6571362194688904,0.043859523054005936,0.15582297305992707
