기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,금융비용
(주)티피씨,130740,2017,94017485,39070392,54947093,51592715,7071659,1300581,1511039,26461077,29510448,19378888,7082190,9712051,4824103,22500000,3000000,4601772,29593909,0,0
(주)티피씨,130740,2018,135107637,67024567,68083070,78436414,14198531,1120696,2270010,60789932,51974144,43775312,17014620,17281594,6922872,31150000,8104167,3815852,60810971,0,0
(주)티피씨,130740,2021,131871796,41057564,90814232,80394391,15356779,476857,-2325761,66921158,31416534,51638153,15283006,14056538,6430329,16000000,7500000,0,55529167,0,0
(주)티피씨,130740,2020,121907801,52873473,69034328,79347761,16143366,794841,1959892,51475737,35312305,39004402,12471334,15929246,5917475,19500000,14770000,0,56437005,0,0
(주)티피씨메카트로닉스,48770,2021,112722597,73829693,38892904,86950519,17485654,2106756,2046433,70081823,64414393,45251863,24829961,20983776,18118571,30890848,388350,0,32193317,0,0
(주)티피씨메카트로닉스,48770,2017,94580825,66590818,27990007,101897097,20895448,5418538,4092462,55435560,51575918,36794744,18640817,26140628,22848021,21848236,6985950,0,33463976,0,0
(주)티피씨메카트로닉스,48770,2018,112779863,82725209,30054654,104628102,18771968,3151019,4147039,74572333,52871760,55723291,18849042,28298145,22769444,21783682,6534550,16000000,32084965,0,0
(주)티피씨메카트로닉스,48770,2019,108184723,80439397,27745326,101092281,16230580,174011,-4060322,68927479,61496750,49507487,19419992,25702313,22830159,20184979,8913150,0,31311593,0,0
(주)티피씨메카트로닉스,48770,2020,105270245,73177959,32092287,88558515,17745997,1949930,4137408,64955392,59604236,44414737,20540655,20849927,17220486,21247487,5201750,0,31548361,0,0
(주)파나진,46210,2017,31792758,8056494,23736263,7394731,4320917,-2646732,-6548618,15208435,6980028,14008973,1199463,4822566,762393,0,0,0,9039760,0,
(주)파나진,46210,2021,31909402,2065805,29843597,15600834,10625445,4164847,4967429,23444410,794423,20137399,3307011,3360492,162549,0,0,0,7189139,0,
(주)파나진,46210,2020,27231815,2161530,25070285,16266901,10883481,5148964,4916261,18567008,981672,15407688,3159320,4670048,169791,0,0,0,7687865,0,
(주)파나진,46210,2019,21786741,1581968,20204773,7950193,5102459,-607899,3504944,10114103,488824,8867309,1246794,4117165,98230,0,0,0,8413865,0,
(주)파나진,46210,2018,24077549,7774098,16303451,7703747,4407016,-1340748,-4118661,13234149,6736301,12054619,1179530,4401634,544839,0,0,0,8711260,0,
