회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)녹십자셀,31390,2017년 12월,8519219.0,-78461686.0,68815905.0,성장기업
(주)녹십자엠에스,142280,2020년 12월,-10176246.0,2767954.0,1867600.0,부실기업
(주)녹십자엠에스,142280,2021년 12월,-18334346.0,-2740699.0,19729434.0,스타트업
(주)녹십자엠에스,142280,2019년 12월,-4529833.0,-22127115.0,31727232.0,스타트업
(주)녹십자엠에스,142280,2017년 12월,3254569.0,-205490.0,-994727.0,우량기업
(주)녹십자엠에스,142280,2018년 12월,-277602.0,-13798264.0,14382443.0,스타트업
(주)녹십자웰빙,234690,2021년 12월,8684292.0,-42791914.0,19255839.0,성장기업
(주)녹십자웰빙,234690,2020년 12월,-6192577.0,19966112.0,-2342918.0,정리기업
(주)녹십자웰빙,234690,2019년 12월,5414860.0,-45436850.0,48739235.0,성장기업
(주)녹원씨엔아이,65560,2020년 12월,-175707.0,-22287986.0,26632282.0,스타트업
(주)녹원씨엔아이,65560,2017년 12월,-1702377.0,-65556845.0,68459315.0,스타트업
(주)녹원씨엔아이,65560,2018년 12월,2422195.0,-12547687.0,9922741.0,성장기업
(주)녹원씨엔아이,65560,2021년 12월,201405.0,6202132.0,-9964843.0,성숙기업
(주)녹원씨엔아이,65560,2019년 12월,5194323.0,-238043.0,-8650407.0,우량기업
(주)누리플랜,69140,2020년 12월,1273509.0,-959421.0,-742065.0,우량기업
