기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,금융비용,유동비율,당좌비율,부채비율,차입금의존도,매출총이익률,영업이익률,당기순이익률,ROA,ROE,매출채권회전율,총자산회전율,매출액증가율,영업이익증가율,유형자산증가율,총자산증가율,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)골드앤에스,35290,2018,42472631,28693062,13779569,8680452,4274694,-4667030,-4380399,21031370,28003279,19740687,1290682,4799709,89720,2000000,0,0,11191043,0,0,75.10324059,70.4941982,208.2290237,2000000,49.24506235,-53.76482699,-50.46279848,-10.3134628,-32.29710482,1.54282352,0.29106293,-47.48120259,20.84814111,96.97494684,59.56470415,-2810496,-12992586,28913273,스타트업
(주)골드앤에스,35290,2019,16096170,21187743,-5091573,7642733,1349614,-7142117,-24883278,3910189,21055498,3412176,498013,4418864,111463,1900000,0,0,3722968,0,0,18.57086923,16.20562952,-416.1335407,1900000,17.65878777,-93.44977772,-325.5808884,-154.5912972,-572.8197389,1.658116283,0.260983079,-13.57785232,34.65480893,-200.59466,-163.8679326,-6246635,-4973680,-3273255,쇠퇴기업
(주)골드앤에스,35290,2020,20634172,6236005,14398168,4138760,3095848,-2343112,1635730,9045300,2194126,8681440,363860,1265192,132149,0,0,5000000,3594431,0,0,412.2507094,395.6673409,43.31110041,24.23164835,74.80134146,-56.61386502,39.52222405,7.927286833,35.15206152,1.456269959,0.225359187,-84.6623868,-204.8132996,-3.576004102,21.99265374,-498313,913873,6671045,부실기업
(주)골드앤에스,35290,2021,26144813,10968859,15175954,13506639,4651710,1355619,770698,12783254,3771648,12426758,356495,1717736,171247,0,0,5000000,3354873,0,0,338.9301971,329.4782016,72.27788777,19.12425229,34.4401742,10.0366864,5.706067957,2.947804599,5.211975524,9.055960452,0.577466099,69.35758778,272.8444349,-7.140598169,21.07737776,2035559,-5392461,-423594,우량기업
(주)골드퍼시픽,38530,2017,26567967,21203473,5364494,5031439,3042558,937598,-965087,17215160,20748043,16670090,545070,10040030,631826,0,0,0,1297094,0,,82.97245191,80.34536076,395.2557874,0,60.47093088,18.63478818,-19.18113287,-3.632521073,-9.396942073,0.855849487,0.190900157,-168.4448525,-44.58424613,-158.6453256,1.592722544,-878680,-10288331,13916056,스타트업
(주)골드퍼시픽,38530,2018,37825442,17738744,20086698,5708281,4299457,-904003,-4471963,23990386,12191199,22383272,1607114,9015191,135512,46122,5440000,0,94653,0,0,196.7844672,183.6018918,88.31090107,5486122,75.31964527,-15.83669409,-78.34167589,-11.8226325,-35.14148178,0.599130391,0.177293953,11.85719484,203.7162487,-1270.367553,29.76164826,-2028216,-8720801,16714823,스타트업
(주)골드퍼시픽,38530,2019,72945743,51876425,21069318,11323125,3293749,-3421041,-31603970,28455147,50456375,24906806,3548341,11971868,1568859,7000000,0,1130782,908909,0,,56.39554368,49.36305075,246.2178652,7000001.55,29.08869239,-30.21286968,-279.109963,-43.32531098,-153.5812893,1.079057814,0.204441706,49.5874063,73.57520708,89.58608618,48.14578556,-3541143,-54745086,52062469,스타트업
(주)골드퍼시픽,38530,2020,71420104,11682284,59737820,14335385,5460316,684966,-1498118,42322228,11547046,38820152,3502076,9530535,1032141,0,0,0,702972,0,,366.5199567,336.1911956,19.55592621,0,38.08977575,4.778148616,-10.45049017,-2.09761386,-3.707885311,1.333375158,0.198598011,21.01275969,599.4468339,-29.29519241,-2.136147828,3314523,13435702,-2152471,성숙기업
(주)골드퍼시픽,38530,2021,87388934,24404597,62984337,8722064,1939199,-4780315,-19466291,64697401,24238409,61690444,3006957,5507264,655512,0,0,0,904569,0,,266.9209889,254.5152365,38.74708882,0,22.23325809,-54.80715344,-223.184455,-22.27546453,-31.72416697,1.160018697,0.109843421,-64.35771395,114.3288884,22.28652541,18.27328618,-1119507,-7596897,30907035,스타트업
(주)골프존,215000,2017,253672419,64290538,189381881,200105321,131068915,37457577,79392004,160591890,51918381,147461877,13130013,18258663,4469536,23333320,9166650,0,71606171,0,0,309.316059,284.0263393,33.94756545,32499970,65.49996489,18.71893102,39.67510889,31.29705796,62.91809152,16.83968153,1.173427122,95.64126333,112.761944,98.73674435,65.55047871,79436410,10630625,-12535982,성숙기업
