기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,유동비율,당좌비율,부채비율,차입금의존도,이자보상배율,매출총이익률,영업이익률,당기순이익률,ROA,ROE,매출채권회전율,총자산회전율,매출액증가율,영업이익증가율,유형자산증가율,총자산증가율
(주)골프존뉴딘홀딩스,121440,2018,563387103,78906181,484480922,16100354,15470314,-11005550,-7653686,59445798,53590836,59445797,0,2372526,0,9300000,10000000,0,83633825,0,110.9253045,110.9253026,16.28674679,19300000,#NAME?,96.08679412,-68.35595043,-47.53737713,-1.358512816,-1.586987356,8.081579999,0.029283171,-45.95668518,37.99219485,-11.08027882,4.817705421
(주)골프존뉴딘홀딩스,121440,2019,537526345,87456888,450069457,26897482,1536388,-17956208,-30341791,30696570,13311280,30696570,0,2408025,0,9300000,54200000,0,70002997,0,230.6056968,230.6056968,19.43186471,63500000,#NAME?,5.712014232,-66.75795154,-112.8053213,-5.644707703,-6.493345181,11.25287943,0.048863936,40.14177981,38.70894122,-19.47177776,-4.811068004
(주)골프존뉴딘홀딩스,121440,2020,562128924,93884548,468244376,57481004,53372261,36116411,27193646,42268511,11336741,42120657,147854,3059780,1016,6300000,54200000,0,67580453,0,372.8453442,371.5411422,20.05033115,60500000,inf,92.85199855,62.83190704,47.30892662,4.837617287,5.922516905,21.02525748,0.104543679,53.20631143,149.7175868,-3.584681505,4.376679077
(주)골프존뉴딘홀딩스,121440,2021,702771959,105003827,597768132,80139752,78007970,59854604,134030981,17676819,53182859,17545647,131172,3562776,891,6300000,12321360,0,66590826,0,33.23781258,32.9911692,17.56597941,18621360,inf,97.33991939,74.68778291,167.2465632,19.07175995,25.14623046,24.20206096,0.126713094,28.27404307,39.65976118,-1.486131138,20.01261337
(주)공구우먼,366030,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,14200,2017,369582323,193026086,176556237,99421336,15291059,2304157,86196134,255751980,162860814,239652731,16099250,7569100,8030605,40930850,562200,0,26240529,0,157.0371495,147.1518686,109.328387,41493050,inf,15.38005786,2.317567931,86.69782309,23.32258028,45.27324959,12.37716122,0.309528694,,,,
(주)광림,14200,2018,236379465,115448249,120931215,75493055,12987146,2202923,-58294056,145430179,100481370,126316234,19113946,9521763,11697261,35456356,1900000,0,24128152,0,144.7334755,125.7110985,95.46604572,37356356,inf,17.20310034,2.91804723,-77.21777321,-24.66121835,,,,-31.69600303,-4.595439786,-8.754822997,-56.35128161
(주)광림,14200,2019,193568854,132819619,60749234,93241157,14625935,3819332,-68290742,82568345,126333888,63171445,19396901,10365519,7735917,30190012,1400000,0,23627901,0,65.35724207,50.00356278,218.6358745,31590012,inf,15.68613633,4.096186837,-73.2409852,-35.27981935,-75.17676489,9.376963328,0.43373193,19.03462223,42.3217725,-2.117204571,-22.11647696
(주)광림,14200,2020,234833331,86735704,148097628,104253227,17867009,8224561,-10061099,54597742,81925315,41139140,13458602,9449886,13523399,21370618,0,0,26644818,0,66.64331043,50.21541876,58.56657205,21370618,inf,17.13808725,7.889022946,-9.650635563,-4.284357317,-9.634905599,10.52244221,0.486707261,10.56280972,53.561874,11.32271573,17.57181437
(주)광림,14200,2021,272822325,68596821,204225504,136952961,25409403,14147063,-9718771,74606704,64277661,50423434,24183271,8496189,14032946,10662546,0,0,29323891,0,116.0694133,78.44628012,33.58876323,10662546,inf,18.5533798,10.32987012,-7.096429992,-3.562307813,-5.516964467,15.26272023,0.539550616,23.87661702,41.86382714,9.136144313,13.92444478
(주)광무,29480,2017,28950503,15398329,13552175,21540953,4037770,199525,-3352682,14949942,13555844,14761275,188668,5897853,3938636,845932,0,0,7752645,0,110.2841107,108.8923346,113.6225661,845932,inf,18.744621,0.926258926,-15.56422318,-11.58073834,-18.75397049,3.445201685,0.500328596,-535.7794894,-6990.371131,-278.2436962,-842.3750772
(주)광무,29480,2018,26017306,16322215,9695091,20707286,3589280,-671966,-4875184,12582516,13577977,12296213,286303,6442654,4669886,4570000,0,1070000,7903725,0,92.66856175,90.55997812,168.3554595,4570004.113,#NAME?,17.33341588,-3.245070358,-23.54332673,-18.73823523,-5.235059586,2.955702191,0.104688096,-4.025959752,129.6927225,1.911503753,-11.27402276
(주)광무,29480,2019,57156720,34954525,22202195,25244176,4370450,-2260048,-6275093,33233586,32525952,32750995,482591,6607048,4822290,4270000,0,0,2004796,0,102.1755981,100.6918875,157.4372489,4270000,#NAME?,17.31270611,-8.952750131,-24.85758695,-10.97874931,-39.34562332,3.868927582,0.607020658,17.9720265,70.26762263,-294.2408604,54.48075747
(주)광무,29480,2020,37073488,12869847,24203641,25006895,2776798,-3068879,-19141822,19658112,10244907,19483509,174603,4312738,2420560,4270000,0,535000,1437194,0,191.8818004,190.1775097,53.1731858,4270001.443,#NAME?,11.10412948,-12.27213135,-76.54617656,-51.63210432,-51.16995419,5.79759589,0.366265098,-0.948862304,26.35591042,-39.49376354,-54.1714122
(주)광무,29480,2021,99477306,48864300,50613006,18172583,3338247,-352260,-880063,70962661,47541426,70929856,32802,4313905,2215661,4000000,0,0,1746412,0,149.2648979,149.195895,96.54494736,4000000,#NAME?,18.36968911,-1.938414589,-4.842806331,-0.884687207,-2.743117019,3.559148777,0.283000748,-37.60781833,-771.1971271,17.70590216,62.7317129
(주)구영테크,53270,2017,139584386,92481970,47102417,74298129,12562417,3025353,1239184,52077454,56414032,44035527,8041927,12980262,6282989,24700000,29458970,0,56419110,0,92.31294441,78.05775521,196.3423023,54158970,inf,16.90812026,4.071910075,1.667853574,0.887766917,2.27284124,5.667493585,0.511597135,75.54099512,111.6435999,96.90457365,28.73321376
(주)구영테크,53270,2018,146492374,88631025,57861349,81928926,12255373,1638585,3912117,43158029,43472159,32838005,10320023,16135074,6110577,11800000,36387038,3500000,71615647,0,99.27739959,75.53801273,153.1782901,48187040.39,inf,14.95854224,2.000007909,4.775013162,2.670526044,9.534192352,8.013466282,0.892637935,9.313922899,-84.63204533,21.2195765,4.715595639
