기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용
로체시스템즈(주),71280,2021,119902205,38308065,81594140,110051852,25708599,11975802,8403855,66522749,32075434,49507028,17015720,16112491,12135082,0,4400000,0,47784623,0
로체시스템즈(주),71280,2020,117108489,44553515,72554974,179791558,21350115,8262077,7535589,43289234,34727214,30467097,12822136,13564972,8300471,0,6600000,0,49619440,0
로체시스템즈(주),71280,2019,119567692,54264384,65303308,79882256,14263959,4132822,1097343,54964671,26735532,41901770,13062901,27884036,10042561,3620000,24752050,0,61564697,0
로체시스템즈(주),71280,2017,85160079,17824746,67335333,337000209,23163491,2090111,3330439,54526640,15492773,37591573,16935067,11003213,6466260,4000000,0,0,25403886,0
로체시스템즈(주),71280,2018,94541904,29922639,64619265,73998396,7672882,-1016490,-1337810,51706099,13006881,37124736,14581364,11464648,4483904,3800000,15197700,0,37113867,0
리노공업(주),58470,2017,246483656,18537507,227946149,141510913,59629830,49156999,40362178,168321688,17849227,160366697,7954992,23919520,4089010,0,0,0,68591713,0
리노공업(주),58470,2019,325715904,25537738,300178166,170307405,74154559,64141630,52790182,225546548,23006488,214423383,11123165,42382771,4631093,0,0,0,84646817,0
리노공업(주),58470,2018,282621920,19778149,262843771,150354373,61651551,51196135,48642070,197338475,18770941,187903491,9434984,27140136,3093557,0,0,0,77206435,0
리노공업(주),58470,2021,466371034,48667847,417703187,280166833,131238307,117104353,103805815,335723022,45990326,324126118,11596904,35502555,4695754,0,0,0,124382381,0
리노공업(주),58470,2020,361533315,24192132,337341183,201335459,88777602,77881754,55378772,257710374,21920276,245361522,12348852,29250294,4567742,0,0,0,96289623,0
린드먼아시아인베스트먼트(주),277070,2020,,,,,,,,,,,,,,,,,,
린드먼아시아인베스트먼트(주),277070,2019,,,,,,,,,,,,,,,,,,
린드먼아시아인베스트먼트(주),277070,2021,,,,,,,,,,,,,,,,,,
린드먼아시아인베스트먼트(주),277070,2018,,,,,,,,,,,,,,,,,,
린드먼아시아인베스트먼트(주),277070,2017,,,,,,,,,,,,,,,,,,
마이크로로봇(주),182690,2021,55343947,31123237,24220711,1564826,-260064,-6446731,-6314857,10562183,7088216,10562184,0,5218957,1319976,4011616,0,31000000,0,0
마이크로로봇(주),182690,2019,23229645,8900700,14328946,5499071,-2309729,-3740848,-3957409,12106394,7875146,11768555,337840,2517471,234943,6790000,0,0,4300561,0
