기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
HLB,2019,69679047000,2.92933E+11,3.62612E+11,67698778182,1.05671E+11,1.7337E+11,21371125500,-5216437630,1.89242E+11,38420748245,-48731090741,-59660076049,52.18858964,0.398429839,0.058165573,1.226622308,-0.164528619,-0.299223709
HLB,2020,2.51573E+11,4.54905E+11,7.06477E+11,98026814858,51021043545,1.49048E+11,26491546500,-85448751794,5.57429E+11,56177400696,-61311788462,-88716231805,78.90266775,0.20519215,0.316081774,0.327517921,-0.125575492,-0.237631199
HLB생명과학,2018,2.39086E+11,1.32044E+11,3.7113E+11,48638694719,1.16378E+11,1.65016E+11,18622880500,-11408780884,2.06114E+11,1.02476E+11,-7963101251,-18423924558,55.53685492,-6.699486234,0.451798828,-3.815273289,-0.04964272,-0.048258999
HLB생명과학,2019,2.23667E+11,1.81268E+11,4.04935E+11,39844715369,30665599371,70510314740,24002294500,-4250326756,3.34425E+11,1.14019E+11,-4479272141,7562007259,82.58725669,-0.777766789,0.10123459,3.436380174,0.018674614,0.027979507
HLB생명과학,2020,1.81329E+11,1.45868E+11,3.27197E+11,17865343920,21587482449,39452826369,24008794500,-60188039513,2.87744E+11,91796823678,-8066746142,-55835828506,87.94217754,0.4447238,-0.242074589,1.135432884,-0.170648993,-0.179487678
HLB제약,2018,21275395391,15147836096,36423231487,16223556445,3201213448,19424769893,6924186500,-8452838132,16998461594,20540681648,-5826274210,-7059643303,46.66928468,-0.384546256,-3.469025189,-6.909157178,-0.193822542,-0.046331847
HLB제약,2019,29018187052,16827681852,45845868904,23091633879,4851340973,27942974852,6924186500,1214682682,17902894052,36099922821,1440928954,472653508,39.05017939,5.043415322,0.431004832,15.93619149,0.01030962,0.027085109
HLB제약,2020,94976557927,16443263972,1.1142E+11,61981251399,4816304550,66797555949,10495727000,-74121124932,44622265950,40571187383,1047053704,-74840343024,40.04876797,-0.376174831,0.11020788,1.006315491,-0.671696847,-2.393927277
HRS,2018,60780825840,42971758563,1.03753E+11,25335505162,6852644290,32188149452,8177400000,52618445500,71564434951,74617790222,3560155942,-7481797843,68.97605044,0.705896674,0.456279967,-9.002989201,-0.072111918,-0.128789229
HRS,2019,49891210793,40188572674,90079783467,15848768275,1050824587,16899592862,8177400000,54399431145,73180190605,66720013075,1577618363,982759631,81.23930563,-1.256664873,-0.118371936,8.613049628,0.01090988,0.013579221
HRS,2020,33998758238,58055487061,92054245299,9531341520,1343416926,10874758446,8177400000,63373790861,81179486853,67405345535,10297444442,9210876152,88.18657585,0.846795157,0.010167331,0.893304435,0.100059222,0.119343034
IBKS제12호스팩,2018,,,,,,,,,,,,,,,,,,
IBKS제16호스팩,2018,,,,,,,,,,,,,,,,,,
ISC,2018,82885995386,1.33894E+11,2.1678E+11,26164138254,12552480638,38716618892,6934927000,93514833062,1.78063E+11,1.1586E+11,13182708622,12151612470,82.14011173,,,,0.056055112,
ISC,2019,65385111991,1.42961E+11,2.08455E+11,25004144032,5033296805,30037440837,7071254000,96302342705,1.78418E+11,87678824284,2025737210,3181414647,85.59044933,-5.507610443,-0.321411396,-2.819562622,0.015261871,0.017849012
ISC,2020,78255891238,1.5941E+11,2.39466E+11,59235251084,7508632917,66743884001,7071254000,1.0201E+11,1.72722E+11,1.21769E+11,18078107189,5505283414,72.12800401,0.887945282,0.279960466,0.422116101,0.022989857,0.031356673
ITX-AI,2018,14058952699,6537461785,20596414484,5521874223,257678729,5779552952,8233065500,-14580511833,14816861532,27666210201,-3625523317,-1917861409,71.93903358,5.986344207,-3.40137835,3.870532453,-0.093116276,-0.020452964
ITX-AI,2019,13364642030,8642675058,22007317088,9899998168,2276677062,12176675230,8233065500,-19566929997,9830641858,31861191505,-2865782259,-5005679235,44.66987874,-0.26510774,0.131664295,0.616862903,-0.227455224,-0.406181442
ITX-AI,2020,34068604063,13556788503,48245356506,21169764037,3553016169,24722780206,14650841500,-23158645989,23522576300,32148780774,-2021117848,-3647914949,48.75614568,-0.417919426,0.008945573,-0.372202835,-0.075611732,-0.218744406
JTC,2018,15693153000,8222301000,23915454000,5788888000,3687093000,9475981000,631410000,12823674000,14439472000,53192674000,3130085000,2452572000,60.37716031,1.645707017,0.395616382,2.487383428,0.102551764,0.129211784
JTC,2019,22566808032,13157771219,35724579251,6564091349,4951014838,11515106187,4854999899,13350262919,24209473064,51685008988,1721807226,793465156,67.76699284,-0.817906763,-0.029170257,-2.090963707,0.022210623,0.04106012
JTC,2020,18893488409,33533970298,52427458707,7870725724,22637856733,30508582457,4854999899,12153377667,21918876250,51875942867,-647312019,-1568493281,41.80800823,3.659933966,0.003680586,1.505877306,-0.029917401,-0.068005611
JW신약,2018,44702155905,64503400632,1.09206E+11,43873784659,32053391274,75927175933,20833583000,-34139468398,33278380604,91776092096,577336607,-7523431121,30.47315692,2.121203837,0.434755374,0.791518889,-0.068892384,-0.272601631
JW신약,2019,73481999238,63372613860,1.36855E+11,32244101993,38674909791,70919011784,20833583000,-20840297149,65935601314,1.02531E+11,1145720471,1444483376,48.1793049,0.496092964,0.104898113,6.208388858,0.010554875,0.029118545
JW신약,2020,33747772627,62579409777,96327182404,38804542283,1180677974,39985220257,20925158000,-31536104403,56341962147,1.03803E+11,-553595623,-6451174260,58.49020052,3.069598139,0.012246407,1.223910147,-0.066971483,-0.105516893
JYP Ent.,2018,82595693876,76746225898,1.59342E+11,30834770493,539095810,31373866303,17872313500,48261938685,1.27968E+11,1.24821E+11,28748634270,24275342132,80.31035,1.019256415,0.168388796,1.265750086,0.152347494,0.263418589
JYP Ent.,2019,1.16258E+11,91582136418,2.0784E+11,43149749830,2339985312,45489735142,17942201500,75507992104,1.6235E+11,1.55436E+11,43458524745,31220337653,78.11306517,0.338481128,0.196960404,0.222451006,0.150213558,0.215076832
JYP Ent.,2020,1.26953E+11,96996732158,2.2395E+11,33334303727,4368063466,37702367193,17943451500,99912036166,1.86247E+11,1.44399E+11,44136482815,29636398233,83.16480587,0.015360492,-0.076432809,-0.053445746,0.132335064,0.170032298
KBG,2019,18208302141,9948421205,28156723346,1883093042,588411223,2471504265,1625965000,8440031671,25685219081,18525955785,3016470571,-1404532267,91.22232998,,,,-0.04988266,
KBG,2020,20780096487,10288476278,31068572765,2217363785,687730452,2905094237,1632165000,11128453072,28163478528,19787710795,3412204537,3122793068,90.649412,0.115976039,0.063764577,1.44976796,0.100512923,0.115983978
