기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
씨젠,2019,1.95716E+11,42889887717,1.52826E+11,1.21953E+11,22423158244,26709827741,78.0855993,0.526170248,0.161443074,0.598973415,0.136472698,0.189982426
씨젠,2020,1.09457E+12,4.48169E+11,6.46406E+11,1.12522E+12,6.7619E+11,5.03147E+11,59.05544618,0.966838955,0.891617844,0.946914481,0.459673683,1.259077247
씨젠,2021,1.48972E+12,4.06122E+11,1.0836E+12,1.37083E+12,6.66658E+11,5.37561E+11,72.73832668,-0.014297315,0.179173876,0.064017914,0.360847121,0.621456587
씨큐브,2017,65451972154,18432737224,47019234930,40171642426,4966773929,3785971019,71.83776651,-133.2236071,-33.12439545,-140.9875267,0.057843498,0.006697185
씨큐브,2018,72801956605,22628538624,50173417981,41389313600,5022813736,4504161135,68.91767793,0.011157055,0.029419941,0.15945036,0.061868682,0.092685218
씨큐브,2019,82177764153,28081966340,54095797813,44746669519,7747326703,5945120683,65.82778002,0.351671366,0.075030297,0.242376837,0.072344639,0.114034054
씨큐브,2020,85053337329,27971409161,57081928168,36971668671,4139801851,3648087374,67.11309628,-0.871424523,-0.210296184,-0.629654137,0.04289176,0.065626228
씨큐브,2021,83637740525,24026206957,59611533568,40002344966,4087094517,3514129854,71.27348634,-0.01289604,0.075762466,-0.038119684,0.042016078,0.060228393
씨티씨바이오,2017,1.918E+11,1.17722E+11,74077642829,1.30559E+11,-14056538908,-20702201984,38.62241994,1.290761086,0.693607118,1.16974667,-0.107936634,-0.309706478
씨티씨바이오,2018,1.91687E+11,1.04722E+11,86965570647,1.384E+11,-5856396845,-9062855026,45.36848471,-1.400202596,0.056655103,-1.284291421,-0.0472794,-0.11255184
씨티씨바이오,2019,1.86498E+11,1.11938E+11,74560124873,1.36124E+11,-4019986738,-13764930167,39.97906492,-0.456819942,-0.01672302,0.341598183,-0.073807419,-0.170436414
씨티씨바이오,2020,1.77172E+11,1.02825E+11,74347224143,1.30032E+11,-5877129856,-22868286340,41.96329162,0.31599491,-0.046849202,0.398077759,-0.129073893,-0.307147854
씨티씨바이오,2021,1.68226E+11,83213403466,85012712510,1.40318E+11,-2937855124,-7978479802,50.53478886,-1.000483212,0.073306448,-1.866246065,-0.047427118,-0.100131563
씨티케이,2017,,,,,,,,,,,,
씨티케이,2018,,,,,,,,,,,,
씨티케이,2019,,,,,,,,,,,,
아가방컴퍼니,2017,2.11445E+11,44477150479,1.66968E+11,1.40861E+11,-3937802817,-4896212333,78.96515122,,,,-0.023155954,
아가방컴퍼니,2018,1.9126E+11,40193256769,1.51067E+11,1.12861E+11,-14440757101,-15633573893,78.98501535,0.727313271,-0.248092415,0.686814265,-0.081739909,-0.098313652
아가방컴퍼니,2019,1.87823E+11,52783250989,1.3504E+11,1.34236E+11,-3483679557,-15811446415,71.89736659,-3.14525988,0.159238507,0.011249605,-0.084182629,-0.110528348
아가방컴퍼니,2020,1.86398E+11,53460905492,1.32937E+11,1.22465E+11,-3910670133,-1967358394,71.31897665,0.109186038,-0.09612324,-7.036891734,-0.010554601,-0.01468303
아가방컴퍼니,2021,1.95114E+11,45770187127,1.49344E+11,1.50978E+11,5905777500,13054794699,76.54180291,1.662177018,0.188858198,1.150700064,0.066908607,0.092495056
아나패스,2017,96625499353,20610273123,76015226230,87058622590,4982208120,678656157,78.669944,-0.185373505,-0.734210925,-18.23624293,0.007023572,0.006022893
아나패스,2018,93092428333,23818783719,69273644614,51496711392,-8017869441,-4210035599,74.41383349,1.621388033,-0.690566645,1.161199624,-0.045224254,-0.057954
아나패스,2019,1.2449E+11,69285735203,55203934752,60833181935,-23615808215,-22209909725,44.34418918,0.660487189,0.15347661,0.810443372,-0.178407652,-0.356849962
아나패스,2020,92829575058,74147920749,18681654309,1.00956E+11,-22426676705,-48978840040,20.12467934,-0.053023082,0.397426001,0.546540716,-0.527621073,-1.325802248
아나패스,2021,1.07529E+11,59176875660,48352039105,48382080501,7811109135,12652396016,44.96654617,3.871125767,-1.086630762,4.871111841,0.117665058,0.377493627
아난티,2017,7.30382E+11,3.99719E+11,3.30663E+11,1.50456E+11,12518014671,2624088988,45.27260835,0.376010546,0.678429772,-3.821633746,0.00359276,0.01384688
아난티,2018,7.75053E+11,4.37967E+11,3.37086E+11,1.62183E+11,12699829104,-20280884749,43.49200229,0.01431629,0.072310294,1.129387303,-0.026167105,-0.060744027
