기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익
원익QnC,2017,82764267107,1.74E+11,2.57E+11,48459246765,27438822122,75898068887,13144000000,1.49E+11,1.81E+11,1.97E+11,29617456126,29384866987
원익QnC,2020,2.24E+11,5.19E+11,7.43E+11,3.41E+11,99746870473,4.40E+11,13144000000,2.18E+11,3.03E+11,5.26E+11,41221881860,15460178967
원익QnC,2019,4.02E+11,2.39E+11,6.41E+11,1.05E+11,2.48E+11,3.54E+11,13144000000,1.93E+11,2.87E+11,2.63E+11,27353639758,3644816855
원익QnC,2018,1.04E+11,2.55E+11,3.60E+11,85868095225,52495712134,1.38E+11,13144000000,1.90E+11,2.21E+11,2.66E+11,41198797878,41187635873
원익머트리얼즈,2017,72736567682,2.07E+11,2.80E+11,34614864972,3165831786,37780696758,3152000000,1.65E+11,2.42E+11,2.03E+11,32882076013,17753506055
원익머트리얼즈,2020,1.14E+11,2.86E+11,4.00E+11,58779180365,2716700634,61495880999,6304000000,2.66E+11,3.39E+11,2.77E+11,45932451105,33137617748
원익머트리얼즈,2019,94407511041,2.64E+11,3.59E+11,49479636831,1820749257,51300386088,6304000000,2.35E+11,3.07E+11,2.21E+11,36048990611,28106267557
원익머트리얼즈,2018,83083646432,2.32E+11,3.15E+11,31832549503,2295404824,34127954327,6304000000,2.11E+11,2.81E+11,2.33E+11,42163573708,41226240701
원익큐브,2017,76104132415,78953754477,1.55E+11,54609582582,22531534450,77141117032,17699953000,15127249551,77916769860,2.40E+11,3350291340,1583169717
원익큐브,2020,92567426278,34315900510,1.27E+11,39955087496,3019354175,42974441671,17699953000,21712230789,83908885117,1.95E+11,3404170815,3080060966
원익큐브,2019,1.09E+11,33729601212,1.43E+11,58774651709,3521149331,62295801040,17699953000,19760713756,80573611468,2.04E+11,-1835380587,3839626119
원익큐브,2018,68225507226,83489701704,1.52E+11,48580808477,28181379127,76762187604,17699953000,18120005508,74953021326,2.21E+11,-1523945428,-3720980520
원익피앤이,2017,61802243071,34475253328,96277496399,40580232232,749521969,41329754201,7140000000,33930810301,54947742198,73627901908,8777555757,7543021864
원익피앤이,2020,1.58E+11,49183984206,2.07E+11,1.01E+11,1080141804,1.02E+11,7409455000,76123675542,1.05E+11,1.28E+11,20622864070,18673866204
