회사,amount,년도,2017,2018,2019,2020,2021
회사명,거래소코드,항목,amount,amount,amount,amount,amount
(주)케이엔제이,272110,자산(*)(천원),31917521,52891391,57901181,72278020,93042946
신라섬유(주),1000,자산(*)(천원),32122070,31856676,32161672,32391839,32849520
(주)대한과학,131220,자산(*)(천원),32126203,32597846,35848945,35799030,42718088
(주)인텍플러스,64290,자산(*)(천원),32248273,30232354,41696205,52611894,107269954
(주)코리아에스이,101670,자산(*)(천원),32323515,31810812,31419853,27851280,33515548
(주)케이피에스,256940,자산(*)(천원),32501006,38217338,38681294,79138627,99270339
(주)모바일리더,100030,자산(*)(천원),32620239,32933009,26732015,41515578,51212232
(주)엘피케이로보틱스,183350,자산(*)(천원),32622062,42274137,18348110,,
(주)제일바이오,52670,자산(*)(천원),32880724,32331319,34648173,42628612,39159360
세신버팔로(주),110660,자산(*)(천원),32915706,,,,
지더블유바이텍(주),36180,자산(*)(천원),32949812,33992406,79968658,41150401,38812182
농업회사법인아시아종묘(주),154030,자산(*)(천원),32964237,34202393,39457865,39037072,41978133
(주)일야,58450,자산(*)(천원),32967782,34868729,35412863,26532498,26170734
(주)코세스,89890,자산(*)(천원),33041534,58280091,54005557,72470368,74470156
(주)케어랩스,263700,자산(*)(천원),33172482,116800344,118810469,124069610,186518941
코드네이처(주),78940,자산(*)(천원),33216494,33778672,36325593,40178485,31311209
(주)녹십자웰빙,234690,자산(*)(천원),33276349,38973487,106715710,114571117,139007000
(주)이루온,65440,자산(*)(천원),33378948,49196054,48067652,50671576,51274883
(주)썬테크놀로지스,122800,자산(*)(천원),33447161,32274248,,,
이지케어텍(주),99750,자산(*)(천원),33554862,39302245,57806720,58304256,52242817
(주)시큐브,131090,자산(*)(천원),33766058,32868311,37478122,37710707,41474002
씨앤지하이테크(주),264660,자산(*)(천원),33922977,64546489,81340415,84732166,139369078
(주)오파스넷,173130,자산(*)(천원),34011041,51562708,65756400,50929141,76921503
씨비아이(주),13720,자산(*)(천원),34101559,35918272,40883528,44319089,76078912
(주)오스코텍,39200,자산(*)(천원),34225053,60268193,67291544,61171527,42326989
(주)라파스,214260,자산(*)(천원),34337252,31382039,59373198,54855796,87948684
(주)디알젬,263690,자산(*)(천원),34624300,46674657,63489548,73104660,84564344
자안바이오(주),221610,자산(*)(천원),34700644,25131014,23717673,111017933,
(주)대성미생물연구소,36480,자산(*)(천원),34782459,38098477,51027758,62262935,62620090
(주)대원모방,311840,자산(*)(천원),34802566,45576335,,,
(주)시스웍,269620,자산(*)(천원),35048507,37696524,48969239,94465174,127642621
(주)동방선기,99410,자산(*)(천원),35060915,33425555,34132289,32040194,34787743
(주)에스디시스템,121890,자산(*)(천원),35094048,34753913,24820711,12655088,14313004
(주)하나기술,299030,자산(*)(천원),35105318,71002447,101395890,119122338,188504678
(주)아셈스,136410,자산(*)(천원),35413282,44447250,47939503,48500967,62893090
(주)알엔투테크놀로지,148250,자산(*)(천원),35450020,38868023,50518526,55696659,75734157
(주)디에스앤엘,141020,자산(*)(천원),35474508,74234227,19012926,87066092,4344764
(주)세아메카닉스,396300,자산(*)(천원),35484472,44897756,44838958,47368107,53718522
(주)팬젠,222110,자산(*)(천원),35592682,45609712,39082939,36308882,43276915
(주)에스티큐브,52020,자산(*)(천원),35677384,69524514,56802206,59527116,39262616
(주)디앤씨미디어,263720,자산(*)(천원),35747220,43768673,52879947,62870110,63079390
(주)비즈니스온커뮤니케이션,138580,자산(*)(천원),35900984,39787118,64059044,64687224,66431433
(주)엔에스엔,31860,자산(*)(천원),36018995,36079908,71991449,69684690,74916014
(주)대유,290380,자산(*)(천원),36350950,67925815,72350682,94366187,114405459
(주)비보존헬스케어,82800,자산(*)(천원),36404550,100651862,163766641,196948419,141484581
웹케시(주),53580,자산(*)(천원),36425027,37481699,63272158,99222864,136094898
미스터블루(주),207760,자산(*)(천원),36543288,42399965,44816390,44071346,52555013
(주)한빛소프트,47080,자산(*)(천원),36795479,41179558,40000614,38920866,34916223
(주)엔지켐생명과학,183490,자산(*)(천원),36804546,66748831,83885134,123482363,132634430
(주)비피도,238200,자산(*)(천원),36849360,46741371,48239213,51411453,54494215
옵티시스(주),109080,자산(*)(천원),36946312,38812553,42143791,42735118,50247266
(주)엠투아이코퍼레이션,347890,자산(*)(천원),37069105,39386332,43027200,66333353,73877964
(주)파크시스템스,140860,자산(*)(천원),37320286,43940734,55118919,101080024,131155554
(주)제노레이,122310,자산(*)(천원),37402451,57124240,76754029,84619741,96738974
(주)비엘,142760,자산(*)(천원),37560196,86546207,83609474,90540981,97307258
(주)탑코미디어,134580,자산(*)(천원),37744899,38666252,29557322,24449013,55294573
세종머티리얼즈(주),135270,자산(*)(천원),37965507,31084814,,,
(주)폴라리스세원,234100,자산(*)(천원),37985294,58995821,59018327,74712415,114154878
(주)아스플로,159010,자산(*)(천원),38028459,46392117,66678527,72493887,92235043
(주)진바이오텍,86060,자산(*)(천원),38091753,42313954,39577106,39987525,40699227
(주)일신바이오베이스,68330,자산(*)(천원),38131265,39453976,45313493,49548220,56826001
(주)서울리거,43710,자산(*)(천원),38437903,63848555,67528056,46913174,32078555
(주)이매진아시아,36260,자산(*)(천원),38487193,25901188,18295141,,
(주)프럼파스트,35200,자산(*)(천원),38719035,38507197,37346148,37436425,38915235
(주)디케이앤디,263020,자산(*)(천원),38759702,47506780,50222361,52059021,71052482
(주)듀오백,73190,자산(*)(천원),38777381,33563382,31552159,34405494,28458490
